"Index Name","Date","Open","High","Low","Close"
"NIFTY500 VALUE 50","04 May 2023","-","-","-","7459.59"
"NIFTY500 VALUE 50","03 May 2023","-","-","-","7401.36"
"NIFTY500 VALUE 50","02 May 2023","-","-","-","7419.36"
"NIFTY500 VALUE 50","28 Apr 2023","-","-","-","7323.81"
"NIFTY500 VALUE 50","27 Apr 2023","-","-","-","7256.89"
"NIFTY500 VALUE 50","26 Apr 2023","-","-","-","7227.01"
"NIFTY500 VALUE 50","25 Apr 2023","-","-","-","7190.35"
"NIFTY500 VALUE 50","24 Apr 2023","-","-","-","7152.86"
"NIFTY500 VALUE 50","21 Apr 2023","-","-","-","7091.75"
"NIFTY500 VALUE 50","20 Apr 2023","-","-","-","7125.66"
"NIFTY500 VALUE 50","19 Apr 2023","-","-","-","7136.85"
"NIFTY500 VALUE 50","18 Apr 2023","-","-","-","7137.10"
"NIFTY500 VALUE 50","17 Apr 2023","-","-","-","7130.21"
"NIFTY500 VALUE 50","13 Apr 2023","-","-","-","7060.09"
"NIFTY500 VALUE 50","12 Apr 2023","-","-","-","7081.04"
"NIFTY500 VALUE 50","11 Apr 2023","-","-","-","7093.30"
"NIFTY500 VALUE 50","10 Apr 2023","-","-","-","7032.65"
"NIFTY500 VALUE 50","06 Apr 2023","-","-","-","6957.70"
"NIFTY500 VALUE 50","05 Apr 2023","-","-","-","6931.99"
"NIFTY500 VALUE 50","03 Apr 2023","-","-","-","6926.03"
"NIFTY500 VALUE 50","31 Mar 2023","-","-","-","6887.29"
"NIFTY500 VALUE 50","29 Mar 2023","-","-","-","6847.87"
"NIFTY500 VALUE 50","28 Mar 2023","-","-","-","6734.51"
"NIFTY500 VALUE 50","27 Mar 2023","-","-","-","6752.73"
"NIFTY500 VALUE 50","24 Mar 2023","-","-","-","6775.68"
"NIFTY500 VALUE 50","23 Mar 2023","-","-","-","6889.32"
"NIFTY500 VALUE 50","22 Mar 2023","-","-","-","6928.49"
"NIFTY500 VALUE 50","21 Mar 2023","-","-","-","6927.38"
"NIFTY500 VALUE 50","20 Mar 2023","-","-","-","6894.35"
"NIFTY500 VALUE 50","17 Mar 2023","-","-","-","6956.35"
"NIFTY500 VALUE 50","16 Mar 2023","-","-","-","6906.88"
"NIFTY500 VALUE 50","15 Mar 2023","-","-","-","6904.39"
"NIFTY500 VALUE 50","14 Mar 2023","-","-","-","6879.72"
"NIFTY500 VALUE 50","13 Mar 2023","-","-","-","6924.31"
"NIFTY500 VALUE 50","10 Mar 2023","-","-","-","7026.65"
"NIFTY500 VALUE 50","09 Mar 2023","-","-","-","7066.83"
"NIFTY500 VALUE 50","08 Mar 2023","-","-","-","7082.32"
"NIFTY500 VALUE 50","06 Mar 2023","-","-","-","7030.09"
"NIFTY500 VALUE 50","03 Mar 2023","-","-","-","6955.44"
"NIFTY500 VALUE 50","02 Mar 2023","-","-","-","6854.51"
"NIFTY500 VALUE 50","01 Mar 2023","-","-","-","6848.27"
"NIFTY500 VALUE 50","28 Feb 2023","-","-","-","6735.88"
"NIFTY500 VALUE 50","27 Feb 2023","-","-","-","6769.78"
"NIFTY500 VALUE 50","24 Feb 2023","-","-","-","6811.48"
"NIFTY500 VALUE 50","23 Feb 2023","-","-","-","6834.83"
"NIFTY500 VALUE 50","22 Feb 2023","-","-","-","6816.66"
